CustomerCID,CustomerName,MobileNumber,Email,LoanAccountNumber,LoanApprovedAmount,LoanOpenDate
11480058500,Zam Zangmo1,77347291,chojeywangmo@gmail.com,5.003E+11,"43,000.00",9/1/2022
71674030116,dawangba,72164913,53923678@qq.com,5.003E+11,"43,000.00",4/1/2022
250647717,liu,63455199,EX-LUOJIAWEI001@ocft.com,5.003E+11,"43,000.00",3/1/2022
651392895,liu,63576177,1234@qq.com,5.003E+11,"43,000.00",5/1/2022
11100058456,Dan Gurung2,17559492,dangurung2@rub.edu.bt,5.003E+11,"43,000.00",8/1/2022
11380058440,Dema Lhamo3,77183621,chojeywangmo@gmail.com,5.003E+11,"43,000.00",9/1/2022
11580058490,Zam Zangmo2,17004849,zamzangmo2@rub.edu.bt,5.003E+11,"43,000.00",8/1/2022
11180058455,Dema Lhamo1,17265732,demalhamo1@gcit.edu.bt,5.003E+11,"43,000.00",8/1/2022
11980058463,Dan Gurung1,17674638,dangurung1@rub.edu.bt,5.003E+11,"43,000.00",9/1/2022
381800596,liu,63853550,EX-LUOJIAWEI001@ocft.com,5.003E+11,"43,000.00",3/1/2022
11780058477,Genpo Drup2,77200771,chojeywangmo@gmail.com,5.003E+11,"43,000.00",9/1/2022
111436209,liu,63261095,EX-LUOJIAWEI001@ocft.com,5.003E+11,"43,000.00",3/1/2022
613023923,liu,63187707,EX-LUOJIAWEI001@ocft.com,5.003E+11,"43,000.00",3/1/2022
11788017794,liu,63301524,EX-LUOJIAWEI001@ocft.com,5.003E+11,"43,000.00",6/1/2022
283336935,liu,63917798,EX-LUOJIAWEI001@ocft.com,5.003E+11,"43,000.00",4/1/2022
11280058445,Dema Lhamo2,17968463,demalhamo2@rub.edu.bt,5.003E+11,"43,000.00",8/1/2022
691609647,liu,63237618,EX-LUOJIAWEI001@ocft.com,5.003E+11,"43,000.00",3/1/2022
11680058489,Genpo Drup1,17333388,genpodrup1@gmail.com,5.003E+11,"43,000.00",9/1/2022
,,,,Total:,"774,000.00",
