Recurring_Payment_ID,Serial_No,Account_Number,Account_Name,Schedule_Date,Counterparty_Account_Number,Counterparty_Account_Name,Recurring_Payment_Amount,Transfer_Purpose,Frequency,Repeat,Status,Payment_Date,Payment_Result,Payment_Failed_Reason,Channel_Reference_Number,Core_Reference_Number,Partner_Reference_Number
AP210910143914361013291,66,100100028105,yi,20220103,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291066,,
AP210910143914361013291,67,100100028105,yi,20220104,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291067,,
AP210910143914361013291,68,100100028105,yi,20220105,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291068,,
AP210910143914361013291,69,100100028105,yi,20220106,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291069,,
AP210910143914361013291,70,100100028105,yi,20220107,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291070,,
AP210910143914361013291,71,100100028105,yi,20220108,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291071,,
AP210910143914361013291,72,100100028105,yi,20220109,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291072,,
AP210910143914361013291,73,100100028105,yi,20220110,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291073,,
AP210910143914361013291,74,100100028105,yi,20220111,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291074,,
AP210910143914361013291,75,100100028105,yi,20220112,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291075,,
AP210910143914361013291,76,100100028105,yi,20220113,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291076,,
AP210910143914361013291,77,100100028105,yi,20220114,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291077,,
AP210910143914361013291,78,100100028105,yi,20220115,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291078,,
AP210910143914361013291,79,100100028105,yi,20220116,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291079,,
AP210910143914361013291,80,100100028105,yi,20220117,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291080,,
AP210910143914361013291,81,100100028105,yi,20220118,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291081,,
AP210910143914361013291,82,100100028105,yi,20220119,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291082,,
AP210910143914361013291,83,100100028105,yi,20220120,100100029214,yi,30.00,input,D-Daily,99,A-Active,,U-unProcess,,AP210910143914361013291083,,
