Transaction_Date,Transaction_Time,Core_Reference_Number,Partner_Reference_Number,Channel_Reference_Number,Transaction_Type,Transaction_Type_Description,Transaction_result,Account_Name,Account_Number,Currency,Debit_Credit,Commission,Transaction_Amount,Counterparty_Account_Name,Counterparty_Account_Number,Debit_Account_Number,Credit_Account_Number,Counterparty_Currency,Transaction_purpose,Essential_Service_Sub_Category,Bill_Reference_Number,Transaction_ID,Partner_response,REMARKS,Fail_Reason
11/01/2022,07:28:19,,20220110728000996,,ITPP,TC Postpaid,F-Fail,rorocky2,100100036519,BTN,Debit,,75.00,,77999020,100100036519,200100000002,BTN,dd,ee,tt,PT220111072819217014140,,test,request ensemble interface error : Connect to dk-core-uat.ocft.com.sg:80 [dk-core-uat.ocft.com.sg/154.213.4.87] failed: Connection refused (Connection refused)
12/01/2022,15:35:32,,8595211641980132226,,SD,,F-Fail,,900500018317,BTN,Debit,,"1,000.00",BIPS,${accountNo},900500018317,${accountNo},BTN,,,,PT220112153532490017936,,,Internal account [${accountNo}] doesnt exist
14/01/2022,07:41:05,,82603811642124465266,,SD,,F-Fail,,900500018317,BTN,Debit,,"1,000.00",BIPS,${accountNo},900500018317,${accountNo},BTN,,,,PT220114074105480014775,,,Internal account [${accountNo}] doesnt exist
17/01/2022,11:55:17,,20220171155000998,,ITPP,TC Postpaid,F-Fail,rorocky2,100100036519,BTN,Debit,,2.00,,77999020,100100036519,200100000002,BTN,dd,ee,tt,PT220117115507330015995,,test,request ensemble interface error : Connect to dk-core-uat.ocft.com.sg:80 [dk-core-uat.ocft.com.sg/54.255.89.0] failed: connect timed out
18/01/2022,15:50:00,,AP210924111819494017148002,,IT,Internal Transfer,F-Fail,Dema101,100100023687,BTN,Debit,,1.25,M/s Eco Purpl Power Heating & Accessories58,200200023300,100100023687,200200023300,BTN,M,s Eco Purpl Power Heating & Accessories58,Retail,PT220118155000513016808,,Gg,error:request remote interface error : Connect to 10.0.2.165:8085 [/10.0.2.165] failed: Connection refused (Connection refused)
19/01/2022,07:40:00,ENS2022010500000705,20220119073959830FQDHH,,SD,,S-Success,Degio115,100100036626,BTN,Credit,,"9,956,701.22",disbursement,900200018053,900200018053,100100036626,BTN,internalTransfer for subsidy account,101,,PT220119074000021011077,,,
19/01/2022,08:35:44,ENS2022010500000721,20220190835000999,,ITRC,TC Recharge,S-Success,rorocky2,100100022750,BTN,Debit,,9.00,,77999022,100100022750,200100000002,BTN,d,ff,c,PT220119083543959016099,F-Fail,test,
19/01/2022,08:35:44,ENS2022010500000721,20220190835000999,,ITRC-C,TC Recharge- Commission,S-Success,rorocky2,100100022750,BTN,,0.36,9.00,,77999022,200100000002,901200022622,BTN,d,ff,c,PT220119083544733016388,F-Fail,test,
19/01/2022,08:35:45,,20220190835001000,,ITPP,TC Postpaid,F-Fail,rorocky2,100100036519,BTN,Debit,,99.00,,77999020,100100036519,200100000002,BTN,dd,ee,tt,PT220119083545334015360,,test,MB3006 Insufficient balance available!
19/01/2022,08:36:15,ENS2022010500000721,20220190835000999,,ITRC,TC Recharge,Auto Reversal Success,rorocky2,100100022750,BTN,Credit,,9.00,,77999022,200100000002,100100022750,BTN,d,ff,c,PT220119083615412019886,,test,
