institution,product_type,gl_code,gl_desc,currency,account_number,account_name,customer_number,customer_name,phone_number,customer_type,balance_direction,whether_to_pay_interest,whether_to_allow_overdraft,balance_update_type,account_status,opponent_account,account_opening_date,date_of_expiry,value_date,account_balance,write_off_suspense,term_of_suspense,write_off_mode,national_id,business_license
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036618,liu,1000003460,liu,63551792,Individual,credit.C,interest,notAllowed,,Active,,04/01/2022,,04/01/2022,"1,000.65",,,,550792255,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036883,Zam Zangmo2,1000003490,Zam Zangmo2,17004849,Individual,credit.C,interest,notAllowed,,New,,08/01/2022,,08/01/2022,0.00,,,,11580058490,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036487,liu,1000003448,liu,63261095,Individual,credit.C,interest,notAllowed,,Active,,03/01/2022,,03/01/2022,1.00,,,,111436209,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036693,liu,1000003469,liu,63126254,Individual,credit.C,interest,notAllowed,,New,,06/01/2022,,06/01/2022,0.00,,,,12794700048,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036626,Degio115,1000003461,Degio115,17501822,Individual,credit.C,interest,notAllowed,,Active,,05/01/2022,,05/01/2022,"9,962,105.11",,,,12100907864,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100038050,Phub Zangmop1,1000003604,Phub Zangmop1,17773522,Individual,credit.C,interest,notAllowed,,Active,,09/01/2022,,09/01/2022,"10,000.00",,,,10200000105,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100038084,Dhondu Pem12,1000003607,Dhondu Pem12,17341447,Individual,credit.C,interest,notAllowed,,Active,,09/01/2022,,09/01/2022,"1,000,153.00",,,,14098901033,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036495,liu,1000003449,liu,63187707,Individual,credit.C,interest,notAllowed,,Active,,03/01/2022,,03/01/2022,1.00,,,,613023923,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036709,liu,1000003470,liu,63774185,Individual,credit.C,interest,notAllowed,,Active,,06/01/2022,,06/01/2022,"9,203.69",,,,13023887497,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036634,liu,1000003462,liu,63576177,Individual,credit.C,interest,notAllowed,,Active,,05/01/2022,,05/01/2022,405.91,,,,651392895,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100038076,Peeka Tashi6,1000003606,Peeka Tashi6,17341436,Individual,credit.C,interest,notAllowed,,Active,,09/01/2022,,09/01/2022,"1,000,142.00",,,,14098901022,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100038108,Dema Lhamo3,1000003609,Dema Lhamo3,77183621,Individual,credit.C,interest,notAllowed,,New,,09/01/2022,,09/01/2022,0.00,,,,11380058440,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036717,liu,1000003471,liu,63301524,Individual,credit.C,interest,notAllowed,,Active,,06/01/2022,,06/01/2022,"58,620.41",,,,11788017794,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036500,liu,1000003450,liu,63237618,Individual,credit.C,interest,notAllowed,,Active,,03/01/2022,,03/01/2022,1.00,,,,691609647,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100038116,Zam Zangmo1,1000003610,Zam Zangmo1,77347291,Individual,credit.C,interest,notAllowed,,New,,09/01/2022,,09/01/2022,0.00,,,,11480058500,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036519,wanger,1000003451,dawangba,72164913,Individual,credit.C,interest,notAllowed,,Active,,04/01/2022,,04/01/2022,11.87,,,,71674030116,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036725,liu,1000003472,liu,63323715,Individual,credit.C,interest,notAllowed,,Active,,07/01/2022,,07/01/2022,"9,202.46",,,,12017568057,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036741,liu,1000003476,liu,63989897,Individual,credit.C,interest,notAllowed,,Active,,07/01/2022,,07/01/2022,"7,902.12",,,,13170849243,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100038183,Genpo Drup1,1000003617,Genpo Drup1,17333388,Individual,credit.C,interest,notAllowed,,New,,09/01/2022,,09/01/2022,0.00,,,,11680058489,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100038124,Dema229,1000003611,Dema229,17423143,Individual,credit.C,interest,notAllowed,,Active,,09/01/2022,,09/01/2022,"1,000,373.00",,,,10867524143,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036527,dawangba,1000003454,dawangba,72943530,Individual,credit.C,interest,notAllowed,,New,,04/01/2022,,04/01/2022,0.00,,,,71161563207,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036733,liu,1000003473,liu,63753373,Individual,credit.C,interest,notAllowed,,Active,,07/01/2022,,07/01/2022,"9,202.46",,,,11277654846,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036750,liu,1000003477,liu,63126376,Individual,credit.C,interest,notAllowed,,Active,,07/01/2022,,07/01/2022,"5,653.52",,,,12571186705,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100038191,Gaki wangmo3,1000003618,Gaki wangmo3,17298902,Individual,credit.C,interest,notAllowed,,Active,,09/01/2022,,09/01/2022,"99,993.66",,,,10700000060,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100038159,Genpo Drup2,1000003614,Genpo Drup2,77200771,Individual,credit.C,interest,notAllowed,,New,,09/01/2022,,09/01/2022,0.00,,,,11780058477,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100038207,Dan Gurung1,1000003619,Dan Gurung1,17674638,Individual,credit.C,interest,notAllowed,,New,,09/01/2022,,09/01/2022,0.00,,,,11980058463,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036768,Gaki wangmo2,1000003478,Gaki wangmo2,77737688,Individual,credit.C,interest,notAllowed,,Active,,08/01/2022,,08/01/2022,"48,355.46",,,,10600000050,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100038167,Genpo Drup3,1000003615,Genpo Drup3,77843292,Individual,credit.C,interest,notAllowed,,New,,09/01/2022,,09/01/2022,0.00,,,,11880058471,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036543,liu,1000003455,liu,63917798,Individual,credit.C,interest,notAllowed,,Active,,04/01/2022,,04/01/2022,900.60,,,,283336935,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036840,Lhaka Dorji4,1000003486,Lhaka Dorji4,17856333,Individual,credit.C,interest,notAllowed,,Active,,08/01/2022,,08/01/2022,"51,699.25",,,,10100000100,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100036808,Phub Zangmop3,1000003482,Phub Zangmop3,77569739,Individual,credit.C,interest,notAllowed,,Active,,08/01/2022,,08/01/2022,"200,000.00",,,,10400000120,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100038215,Pem Zangmo3,1000003620,Pem Zangmo3,17439682,Individual,credit.C,interest,notAllowed,,New,,09/01/2022,,09/01/2022,0.00,,,,10300000020,
8888-DK,1001-DK Individual Savings Account,20110101,DK Individual Savings Account ,BTN,100100038175,Phub Zangmop4,1000003616,Phub Zangmop4,17563738,Individual,credit.C,interest,notAllowed,,New,,09/01/2022,,09/01/2022,0.00,,,,10500000130,
